,time_period,time_identifier,version,geographic_level,methodology_level,country_code,country_name,characteristic_group,characteristic,characteristic_gender,table,school_type,school_admission_type,school_religious_denomination,subject,qualification_type,subject_entry,Total_achieving_A*-G/9-1,Total_achieving_A*-C/9-4,Total_achieving_A-B,Total_achieving_A-E,Total_achieving_level_1_pass,Total_achieving_level_2_pass
122,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,M,S1a,Total,Total,Total,Combined Science,GCSE and equivalent,186356,181566,96993,0,0,0,0
123,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,All,S1a,Total,Total,Total,Combined Science,GCSE and equivalent,369695,361999,202394,0,0,0,0
124,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,F,S1a,Total,Total,Total,Communication Studies,GCSE,1526,1497,1040,0,0,0,0
125,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,M,S1a,Total,Total,Total,Communication Studies,GCSE,2071,2005,1099,0,0,0,0
126,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,All,S1a,Total,Total,Total,Communication Studies,GCSE,3597,3502,2139,0,0,0,0
127,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,F,S1a,Total,Total,Total,Communication Studies,GCSE and equivalent,1526,1497,1040,0,0,0,0
128,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,M,S1a,Total,Total,Total,Communication Studies,GCSE and equivalent,2071,2005,1099,0,0,0,0
129,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,All,S1a,Total,Total,Total,Communication Studies,GCSE and equivalent,3597,3502,2139,0,0,0,0
130,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,F,S1a,Total,Total,Total,Computer Science,GCSE,14293,13773,9318,0,0,0,0
131,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,M,S1a,Total,Total,Total,Computer Science,GCSE,56004,54001,33920,0,0,0,0
132,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,All,S1a,Total,Total,Total,Computer Science,GCSE,70297,67774,43238,0,0,0,0
133,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,F,S1a,Total,Total,Total,Computer Science,GCSE and equivalent,14293,13773,9318,0,0,0,0
134,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,M,S1a,Total,Total,Total,Computer Science,GCSE and equivalent,56004,54001,33920,0,0,0,0
135,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,All,S1a,Total,Total,Total,Computer Science,GCSE and equivalent,70297,67774,43238,0,0,0,0
136,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,F,S1a,Total,Total,Total,D & T: Electronic Products,GCSE,430,427,350,0,0,0,0
137,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,M,S1a,Total,Total,Total,D & T: Electronic Products,GCSE,4042,3966,2697,0,0,0,0
138,201718,Academic year,Amended,National,null,E92000001,England,NA,NA,All,S1a,Total,Total,Total,D & T: Electronic Products,GCSE,4472,4393,3047,0,0,0,0
